T_K [INPUT],P_atm [INPUT],Z_feed [INPUT],N_stages [INPUT],F_Stage [INPUT],R_reflux [INPUT],B_molps [INPUT],xD [OUTPUT],xB [OUTPUT],QC_kW [OUTPUT],QR_kW [OUTPUT],status [INFO]
336.5,2.431,0.4497,10,2,3.62,61.86,0.99381793,0.88779652,5547.0693,5850.9092,done
340.3,1.358,0.595,14,6,2.221,51.39,0.99278792,0.78301195,4887.4914,4960.0647,done
343.7,1.908,0.3253,18,16,4.577,47.0,0.60352524,0.98345864,9456.7157,10001.5145,done
378.9,1.854,0.6492,8,3,4.457,51.91,0.99446466,0.66852009,7697.3967,8613.0197,done
334.3,1.992,0.6307,18,10,1.334,59.26,0.99054682,0.61596063,2991.4717,3017.406,done
366.2,1.049,0.6458,10,4,3.76,61.12,0.9952897,0.57596022,5555.2194,5960.9885,done
333.1,1.913,0.3758,11,2,3.327,44.64,0.67843602,0.99610375,7761.7386,7979.1168,done
357.2,2.618,0.6006,15,14,3.801,38.07,0.94963761,0.96551377,9080.6393,10104.2456,done
344.7,2.96,0.3694,14,13,4.655,58.27,0.86673081,0.98682123,7394.1349,8178.4141,done
330.1,2.085,0.6466,13,12,3.109,44.37,0.97604636,0.76613362,7243.062,7468.4429,done
358.1,1.062,0.7642,12,11,3.152,59.91,0.97493137,0.37737536,5069.5785,5373.1279,done
361.8,2.452,0.5622,9,2,1.152,45.74,0.98094999,0.93108814,3517.4186,3970.9512,done
362.8,2.882,0.6243,19,16,1.028,62.34,0.97608343,0.58775583,2304.3439,2717.7501,done
377.3,2.902,0.5352,11,7,4.405,61.61,0.98414864,0.74722648,6089.5292,7241.2518,done
340.1,1.275,0.2715,8,7,2.129,69.62,0.82990408,0.9712703,3012.8671,3101.8323,done
333.6,2.573,0.3633,12,3,4.395,31.78,0.53340676,0.998,12030.3761,12944.9977,done
355.8,1.485,0.2837,20,9,2.091,50.99,0.54637598,0.97053745,4775.7131,5096.1195,done
350.1,2.362,0.2613,20,13,3.241,47.79,0.49475958,0.99463946,7071.985,7664.643,done
368.9,1.738,0.6745,20,6,4.614,43.47,0.999,0.74766213,9406.0346,10218.1758,done
368.1,1.885,0.7546,14,13,1.731,31.71,0.97296533,0.71605228,5562.0299,6147.6459,done
357.3,1.957,0.6139,17,16,1.779,45.36,0.97197764,0.81942871,4605.4279,5025.256,done
332.0,2.864,0.5573,17,4,3.439,49.82,0.99404848,0.88545804,7045.1217,7536.5667,done
338.5,2.725,0.5464,18,7,1.161,39.29,0.89382437,0.99516537,4134.8731,4296.9885,done
341.2,2.262,0.4686,18,8,2.975,43.72,0.83589481,0.998,7063.871,7484.037,done
335.0,2.404,0.7385,18,7,4.537,41.95,0.99525547,0.61868377,10116.1374,10749.6317,done
341.0,2.686,0.5724,9,4,4.032,41.28,0.96428714,0.98284784,9224.9971,10028.6906,done
346.5,2.722,0.5351,14,9,3.062,66.39,0.98460089,0.69133044,4230.496,4623.0134,done
347.2,2.57,0.7508,13,9,3.846,35.15,0.98215301,0.68135777,9711.7123,10593.2899,done
346.1,1.053,0.5779,19,16,2.872,68.91,0.98084864,0.60209238,3724.6885,3904.7996,done
365.6,2.395,0.4922,11,9,3.308,47.57,0.90840049,0.96877654,6809.3076,7616.5504,done
345.0,1.339,0.4474,11,3,1.441,63.22,0.99638354,0.8729754,2776.7636,2918.5934,done
370.3,2.758,0.7677,12,2,2.675,61.2,0.9957054,0.37421808,4237.8406,5007.7984,done
337.5,2.044,0.785,19,6,2.095,53.82,0.99668939,0.39992088,4481.4284,4646.119,done
338.7,1.604,0.6694,16,4,4.999,68.61,0.99651289,0.47935008,5917.1366,6119.9549,done
352.1,2.73,0.2146,19,6,4.66,31.52,0.31568305,0.998,12530.9599,13885.4401,done
333.7,2.474,0.2097,9,4,3.581,63.65,0.55697765,0.98930822,5434.74,5724.8501,done
340.8,1.082,0.3137,11,5,3.984,60.3,0.78068751,0.99629854,6282.4231,6362.081,done
346.9,1.563,0.2746,15,14,3.96,53.41,0.57549352,0.99064955,7382.3069,7711.4354,done
351.1,1.007,0.2293,10,2,3.294,36.97,0.35538739,0.99326419,8730.22,8835.7214,done
356.3,2.949,0.3924,14,11,2.187,31.14,0.56150129,0.97819727,6920.3452,7730.1619,done
340.9,2.335,0.6292,11,2,4.776,35.34,0.97101169,0.998,11738.4979,12479.6067,done
352.8,2.428,0.3925,9,6,2.218,52.47,0.77387263,0.95202232,4761.2986,5204.2598,done
338.0,1.953,0.419,12,3,2.098,48.44,0.80878222,0.99508329,5081.5606,5232.1914,done
378.4,2.733,0.2189,14,13,4.706,35.6,0.33244748,0.98539495,11297.2353,12958.0253,done
359.6,1.282,0.6129,15,14,3.659,63.73,0.97271866,0.59401836,5116.861,5520.7919,done
369.9,1.032,0.382,10,5,2.741,62.51,0.96113064,0.96870775,4190.4109,4658.0689,done
346.9,2.742,0.6949,14,9,3.199,55.67,0.98301619,0.53550161,5746.4132,6285.9459,done
340.1,2.644,0.3794,11,9,2.723,48.73,0.72054295,0.98143787,6104.5953,6512.6232,done
375.8,1.811,0.4349,8,2,2.801,54.97,0.91698258,0.96239199,5058.9339,5786.1363,done
377.1,2.198,0.5121,10,3,3.995,69.96,0.999,0.69727973,4403.6475,5259.9133,done
344.1,2.306,0.5849,9,3,4.409,40.42,0.97048063,0.9862199,10074.4351,10749.8656,done
341.3,2.527,0.4982,9,3,1.279,50.85,0.96407303,0.95264878,3511.7136,3660.7143,done
376.5,1.919,0.2035,13,10,3.756,55.22,0.43097171,0.97910009,6529.5217,7378.909,done
363.1,1.726,0.7109,12,11,3.522,37.12,0.97531139,0.73704818,8597.1225,9220.6576,done
373.7,2.008,0.66,19,13,3.888,38.89,0.98378945,0.84861764,8794.1626,9758.6808,done
365.1,1.837,0.5082,15,12,2.398,69.43,0.97930327,0.69846987,3106.1357,3634.6547,done
374.0,2.724,0.4551,16,12,4.798,63.38,0.98188044,0.84680055,6271.9983,7354.9772,done
366.1,1.304,0.5191,16,10,1.903,50.47,0.98562662,0.93643439,4299.8351,4734.1126,done
352.2,1.295,0.5398,19,8,3.808,45.92,0.99285149,0.99511599,7946.7352,8269.8158,done
370.2,2.035,0.3934,11,3,3.955,68.2,0.999,0.88685347,4671.545,5396.2934,done
337.1,1.179,0.7897,16,6,2.513,60.62,0.99859571,0.3462121,4337.5542,4394.141,done
345.9,1.578,0.2126,13,5,1.489,60.72,0.51393073,0.98226532,3143.0076,3316.6123,done
343.2,1.839,0.7468,12,4,3.318,40.39,0.999,0.62638476,7975.2965,8340.4885,done
363.6,2.161,0.6088,12,11,2.059,30.91,0.86044528,0.95080756,6403.0451,7045.0411,done
354.7,1.599,0.2605,18,12,1.011,57.4,0.57158508,0.9715669,2704.4645,2969.2007,done
346.6,1.636,0.2022,15,7,4.7,61.92,0.52872167,0.998,6954.2687,7295.5673,done
374.8,1.317,0.7786,15,11,2.901,31.55,0.98173354,0.66657225,7921.7487,8457.9146,done
365.1,1.551,0.4039,18,2,3.818,51.69,0.83181854,0.99701875,7064.2763,7620.8885,done
352.0,2.755,0.2123,10,8,4.625,30.87,0.30104285,0.98582367,12587.2998,13924.3955,done
335.0,1.376,0.2234,16,5,3.589,50.74,0.45598474,0.998,7444.7535,7521.2499,done
375.4,1.171,0.7785,11,9,4.756,60.18,0.97639083,0.35219401,6751.4185,7363.5807,done
368.4,2.761,0.4692,10,6,3.463,44.7,0.83105403,0.97981766,7445.9925,8480.7006,done
338.8,1.086,0.441,18,13,1.4,65.76,0.98545171,0.84229106,2571.0167,2616.7464,done
367.6,1.937,0.7325,18,15,1.853,44.74,0.97772342,0.57160118,4691.7382,5280.9899,done
354.6,2.551,0.708,14,11,1.525,38.16,0.9772011,0.73061949,4757.5493,5202.2129,done
354.9,2.968,0.7031,17,8,3.312,64.82,0.99183413,0.45312018,4612.1201,5253.017,done
350.4,1.387,0.7088,11,8,2.853,55.91,0.98111384,0.50648345,5217.6271,5485.8615,done
348.2,2.36,0.7251,20,6,2.633,32.73,0.99751308,0.8397524,7496.6285,8086.1341,done
364.2,1.093,0.5494,9,3,3.56,42.66,0.93938992,0.97253278,7890.0494,8237.3588,done
341.6,2.814,0.2583,18,14,3.99,66.46,0.76041231,0.99182476,5312.5053,5782.6911,done
339.5,2.353,0.5935,19,5,2.581,32.64,0.88202779,0.998,7605.608,8036.3438,done
358.8,1.691,0.4894,16,6,2.004,67.12,0.99546616,0.75904189,2990.5966,3382.1509,done
351.1,1.596,0.4019,16,8,2.806,36.33,0.62780662,0.99455111,7642.9773,8008.6043,done
375.1,1.402,0.7938,19,6,1.372,43.98,0.99705346,0.46740675,3921.7441,4455.8489,done
379.7,1.207,0.5145,14,7,1.987,57.9,0.98736534,0.83036866,3683.1856,4281.3864,done
368.3,1.228,0.3682,17,10,4.145,43.52,0.64561415,0.99030366,8883.4055,9393.0605,done
361.0,2.958,0.6905,14,11,4.471,54.77,0.97973341,0.54704875,7488.7494,8548.0114,done
334.7,1.48,0.5264,13,7,4.413,43.01,0.92000683,0.9939533,9792.5508,9933.8263,done
361.7,2.746,0.2818,19,9,1.21,33.0,0.39987264,0.95290976,4675.6021,5253.916,done
375.2,1.559,0.3537,13,11,2.95,30.56,0.50028873,0.98111079,8365.6253,9057.0982,done
357.3,2.662,0.6726,12,10,3.768,53.29,0.97865095,0.59700309,6771.8991,7570.6717,done
345.2,1.757,0.5603,11,6,1.997,40.18,0.91887153,0.97239663,5575.7267,5809.9182,done
348.9,2.079,0.3054,17,16,2.76,50.04,0.59633595,0.98608023,5974.3569,6395.6235,done
353.0,1.484,0.2065,20,13,1.424,66.43,0.57496985,0.98037587,2562.8179,2842.8911,done
364.1,1.294,0.745,10,9,4.597,59.21,0.97487424,0.41469563,6858.7692,7352.7411,done
339.9,2.577,0.7364,19,9,2.182,52.13,0.99197642,0.50146289,4745.7065,5032.5691,done
362.0,2.033,0.2551,19,12,4.102,44.67,0.46009832,0.998,8868.724,9651.3257,done
379.7,1.407,0.5104,14,10,1.65,40.67,0.82313429,0.94762605,4658.5733,5270.9383,done
355.8,1.673,0.5605,19,9,2.256,54.72,0.99516469,0.79708445,4501.3875,4852.3937,done
360.6,1.306,0.3397,10,9,1.817,43.24,0.55442936,0.94130841,5009.4945,5326.9008,done
372.5,2.645,0.6034,20,13,4.378,59.38,0.98682296,0.65909419,6444.1231,7495.968,done
352.7,1.337,0.2002,13,3,1.267,61.68,0.49315686,0.97807973,2759.2714,3008.7316,done
348.8,2.055,0.2831,12,2,2.744,37.17,0.44891339,0.99724534,7564.2767,8009.8561,done
368.5,1.763,0.4801,12,10,1.192,58.15,0.97641196,0.87951164,2734.0565,3209.5494,done
375.4,2.762,0.536,14,4,2.341,58.93,0.99861595,0.78829848,4043.3167,4859.3088,done
332.9,2.049,0.2951,14,12,2.771,48.41,0.55916039,0.98896111,6385.7285,6571.0655,done
357.6,2.379,0.3787,13,9,1.217,55.55,0.79772473,0.95940535,3028.7185,3406.3459,done
339.6,2.039,0.3684,16,7,1.654,58.57,0.86119143,0.98162512,3472.3666,3594.41,done
347.3,1.11,0.6516,20,15,3.373,60.37,0.98315774,0.56623317,5369.6678,5521.536,done
351.0,2.29,0.6109,16,2,2.782,65.61,0.99150124,0.58999118,3993.524,4394.3646,done
371.8,2.009,0.6665,16,12,4.589,54.41,0.98116974,0.59757644,7572.6041,8445.3204,done
362.9,1.503,0.3824,13,7,4.826,66.18,0.99159043,0.9275185,5920.8199,6442.9989,done
337.0,1.566,0.2788,16,14,2.601,60.99,0.69736738,0.98803258,4511.7283,4608.1347,done
360.6,1.085,0.2647,19,13,4.539,56.96,0.60740213,0.99493562,7402.166,7773.9042,done
360.9,2.063,0.4592,15,14,4.513,33.18,0.67464354,0.96699871,11425.9604,12363.7849,done
331.2,2.256,0.7332,13,4,4.911,67.53,0.99684388,0.39736656,6059.8461,6371.7646,done
343.7,2.665,0.447,16,7,3.545,38.31,0.72527201,0.99638606,8874.229,9680.73,done
333.0,2.601,0.6628,11,3,1.505,40.24,0.99714205,0.83432447,4715.87,4834.8667,done
331.9,1.437,0.3077,17,12,4.72,32.95,0.45291582,0.99021257,12739.2629,12847.0968,done
376.4,2.012,0.4882,9,4,3.402,54.28,0.99373255,0.93756707,5920.287,6729.244,done
336.5,1.432,0.4222,9,2,1.962,65.16,0.99530666,0.88234095,3247.6343,3282.1454,done
368.0,1.999,0.7475,15,13,3.169,44.5,0.97840884,0.53771883,6917.4654,7651.3016,done
366.6,2.081,0.3477,14,6,1.971,67.05,0.99198554,0.9707571,2932.5634,3449.1099,done
352.2,2.848,0.3235,10,6,3.189,38.24,0.51714829,0.98543425,8209.1336,9118.584,done
365.4,1.125,0.6115,12,8,2.899,41.06,0.98481534,0.92428179,6883.356,7282.9179,done
336.3,2.191,0.6197,15,11,2.984,41.99,0.98420203,0.88134463,7267.724,7624.8211,done
345.2,2.031,0.743,11,7,1.16,42.5,0.98135695,0.58367375,3846.5264,4012.4286,done
375.2,2.706,0.3892,15,9,1.741,63.93,0.98877837,0.94703877,2913.4884,3597.9062,done
371.1,2.58,0.4791,10,2,1.31,41.78,0.77896815,0.93601845,4049.3316,4712.6087,done
330.4,2.466,0.7992,15,10,2.718,59.72,0.98553393,0.32790643,4753.9031,4910.1694,done
354.4,1.239,0.4493,15,4,3.479,48.37,0.87046811,0.998,7139.0147,7383.9814,done
337.2,2.267,0.2504,10,5,3.65,68.16,0.76438147,0.9897856,4719.3636,4983.8421,done
341.8,1.319,0.5201,10,8,3.005,55.34,0.97756317,0.85149582,5590.269,5707.8715,done
332.4,1.244,0.3803,9,5,4.804,31.41,0.5506775,0.9929754,13090.168,13024.8643,done
350.7,2.317,0.2923,15,12,1.544,62.75,0.73178028,0.96971891,2969.9414,3253.0376,done
355.3,2.966,0.5669,10,2,3.697,63.06,0.99374958,0.68581013,5279.9076,5995.6088,done
371.4,2.923,0.6174,18,15,1.62,56.29,0.97915336,0.66314621,3388.3875,4074.2031,done
332.1,1.733,0.4953,18,17,1.605,39.43,0.80301663,0.97697997,5058.7639,5066.3186,done
375.9,2.527,0.2094,19,4,2.158,30.59,0.2852751,0.96349147,6808.6361,7765.9073,done
339.4,2.523,0.6215,8,3,3.426,35.02,0.94033299,0.9653324,9035.5884,9672.8241,done
366.5,1.019,0.5505,8,6,1.332,54.77,0.98172367,0.80390143,3158.9902,3550.9796,done
374.8,2.589,0.697,20,16,3.636,64.38,0.98247758,0.45603422,4880.9588,5805.3675,done
372.4,1.65,0.7617,8,3,4.173,49.79,0.99562556,0.47425366,7695.74,8422.5021,done
365.7,1.518,0.7696,19,12,3.617,58.25,0.98630504,0.38763543,5772.8231,6326.9755,done
334.6,2.879,0.6254,20,6,3.843,62.68,0.99843692,0.59675753,5692.2558,6117.902,done
358.4,2.973,0.7105,9,7,2.882,44.32,0.97981712,0.6286014,6566.8739,7442.2155,done
332.3,1.209,0.5893,16,7,3.934,65.94,0.99776532,0.6183949,5313.1837,5313.1374,done
335.9,1.15,0.3484,9,5,1.771,53.21,0.70203838,0.95897736,4181.6966,4147.1412,done
349.6,1.496,0.2054,18,14,2.792,31.66,0.27932911,0.95914229,8412.1134,8730.1047,done
344.5,1.061,0.476,8,5,1.921,49.59,0.88366906,0.94024737,4603.2234,4683.5595,done
344.4,2.272,0.7916,9,4,4.372,38.01,0.9938923,0.53974849,10360.0018,11043.4586,done
353.1,1.863,0.3116,17,7,2.051,57.51,0.71249315,0.988384,4042.3333,4385.4282,done
379.4,2.326,0.2313,10,6,4.389,50.78,0.45703502,0.98830992,8079.2534,9208.6471,done
337.1,2.312,0.4784,13,2,3.331,69.48,0.99227618,0.74455277,4138.7081,4354.7236,done
354.9,2.988,0.5718,16,13,1.217,33.42,0.83604915,0.95250548,4558.3242,5035.9184,done
363.4,1.072,0.5971,13,8,2.353,65.23,0.98724188,0.61143283,3500.2782,3909.5486,done
370.4,1.285,0.2161,11,2,2.441,37.79,0.32935479,0.9689518,6658.3922,7184.7581,done
335.7,1.786,0.4274,9,6,1.315,38.47,0.65025076,0.92947005,4611.6813,4620.192,done
362.9,1.793,0.4419,19,9,2.921,41.54,0.75465908,0.998,7029.2408,7618.3197,done
375.1,2.946,0.4438,9,4,1.44,69.58,0.99586787,0.79791827,2188.3907,2814.734,done
371.9,2.516,0.6841,10,3,4.833,61.65,0.999,0.51235734,6624.0442,7652.8636,done
340.8,2.005,0.7859,11,10,1.572,68.07,0.97206877,0.3013538,2564.9335,2694.6547,done
376.2,2.86,0.3326,18,8,1.283,68.64,0.99500192,0.97143835,2108.4751,2734.5605,done
357.0,1.455,0.6211,8,7,3.737,64.79,0.97306563,0.57180681,5081.1943,5485.0282,done
367.0,2.741,0.5541,12,11,3.904,65.45,0.97216546,0.66770186,5079.1599,5897.758,done
355.2,1.65,0.2717,16,7,2.593,43.29,0.47396247,0.99405661,6425.7067,6871.778,done
378.7,1.463,0.5299,17,6,3.624,36.59,0.83575125,0.998,8716.2465,9417.685,done
364.1,1.784,0.7291,12,6,3.678,62.96,0.99265388,0.42452712,5191.4438,5786.9044,done
345.9,2.129,0.2804,9,8,4.053,42.98,0.47794788,0.98432063,9285.6767,9918.726,done
360.2,2.907,0.3462,17,5,4.647,53.64,0.75061307,0.998,8075.69,9138.1167,done
340.5,2.429,0.5012,18,4,1.037,31.51,0.69658641,0.91193402,4452.8825,4592.3916,done
371.9,1.108,0.2894,11,8,4.541,63.68,0.77843202,0.98804761,6052.31,6580.3849,done
343.6,1.549,0.4532,13,10,2.605,43.92,0.79526292,0.98654599,6370.2126,6559.3148,done
362.8,2.979,0.2015,9,3,2.227,51.2,0.39225564,0.97827199,4962.0713,5697.7022,done
349.4,2.971,0.3211,19,10,2.517,59.46,0.78983298,0.998,4441.773,4935.0761,done
361.5,2.593,0.254,13,5,3.791,34.6,0.38734332,0.998,9878.3604,11030.8934,done
358.5,1.148,0.7243,19,2,3.931,69.97,0.99020529,0.39031741,4497.6237,4879.5895,done
342.3,1.284,0.5444,14,13,2.189,38.86,0.87136856,0.96907245,6127.5975,6205.3533,done
365.5,2.522,0.3404,13,11,4.789,36.9,0.52927957,0.98102662,11354.4791,12612.8403,done
352.9,1.033,0.4403,14,3,3.302,45.3,0.80445022,0.998,7317.6235,7456.7979,done
344.2,1.618,0.3154,10,6,1.875,48.31,0.5748553,0.95952068,4774.002,4933.8648,done
369.8,1.155,0.4145,19,17,2.086,31.03,0.58786614,0.97178484,6550.3206,6928.5171,done
351.9,1.107,0.4046,14,8,4.758,55.39,0.89910469,0.99718921,7903.2005,8162.6518,done
339.9,2.921,0.4667,14,8,1.515,66.02,0.98932952,0.80627566,2667.2541,2780.7429,done
353.3,1.465,0.5057,13,3,2.275,57.2,0.99435763,0.86317319,4296.0287,4571.1453,done
360.3,2.354,0.6688,13,4,3.193,63.77,0.999,0.51741691,4579.814,5186.4274,done
363.7,2.282,0.4467,19,11,3.311,30.77,0.63969115,0.98566985,9226.5847,10110.8249,done
343.8,1.829,0.3393,17,14,4.714,30.38,0.47947092,0.98454556,12873.0792,13501.4997,done
364.4,1.135,0.4517,19,4,2.689,51.68,0.93322169,0.998,5368.2566,5759.5567,done
360.8,2.766,0.3612,10,6,1.61,39.42,0.56187916,0.94295255,4923.4834,5555.4308,done
366.1,1.27,0.3584,17,7,4.037,64.18,0.99321332,0.998,5401.9309,5888.9471,done
379.2,1.944,0.6093,9,7,4.653,33.64,0.89301549,0.95553569,11034.3464,12163.4098,done
364.0,2.132,0.3611,12,7,1.593,47.26,0.64482505,0.95652591,4218.451,4739.4145,done
340.6,1.13,0.5668,14,6,2.208,33.44,0.85095832,0.998,6760.8684,6752.3336,done
364.1,2.585,0.2376,18,4,3.129,55.97,0.53509679,0.9964536,5666.0775,6436.4259,done
366.4,1.287,0.7665,18,6,1.262,58.78,0.99833925,0.39546873,2794.0298,3225.1537,done
356.3,2.33,0.5708,15,6,2.885,66.98,0.99461002,0.63801461,3895.7799,4388.1541,done
376.9,2.853,0.762,17,3,1.95,34.23,0.99455363,0.68500194,5706.4602,6681.4727,done
343.3,2.023,0.5739,15,12,3.675,62.09,0.97984988,0.67443195,5501.7646,5835.83,done
351.4,1.607,0.47,11,3,2.079,51.59,0.93357262,0.96371389,4596.4425,4857.4473,done
362.4,1.003,0.7524,11,2,1.093,39.26,0.99425312,0.62279978,3822.9235,4121.9577,done
346.1,1.803,0.4459,8,5,1.878,64.35,0.98334605,0.85097371,3181.4983,3379.3727,done
347.4,1.759,0.4605,11,2,4.687,52.25,0.95471123,0.99598863,8420.9161,8867.7425,done
330.3,1.974,0.3376,16,7,4.002,46.71,0.62905898,0.99502323,8727.3095,8971.9243,done
358.8,1.6,0.72,17,6,2.334,34.89,0.99769693,0.79622018,6579.7994,6970.8974,done
357.0,2.871,0.3179,19,2,1.538,34.57,0.45934549,0.94606183,5258.8102,5848.1576,done
356.9,1.569,0.561,15,11,1.549,32.35,0.81389758,0.96972916,5307.8001,5629.1611,done
332.5,1.483,0.4246,11,3,2.138,59.28,0.98935396,0.96411077,4038.5938,4034.1368,done
367.1,1.413,0.787,13,5,2.439,61.99,0.99588545,0.3413755,3901.2236,4397.3798,done
344.1,2.138,0.7599,13,7,3.35,67.85,0.98914251,0.35022539,4342.9485,4651.184,done
366.0,2.728,0.576,13,7,2.355,51.54,0.98955902,0.8107339,4869.2113,5600.0412,done
354.6,2.575,0.5758,9,2,1.426,59.96,0.99389557,0.7045772,2953.8399,3303.1211,done
364.5,2.611,0.4089,14,7,2.912,48.24,0.78303762,0.99107414,6186.9864,6986.0411,done
348.6,1.993,0.4462,12,2,4.739,58.82,0.99310988,0.93723638,7282.0873,7790.4403,done
354.4,2.01,0.7007,18,11,1.174,31.44,0.98680265,0.92434406,4554.3476,4855.9269,done
335.2,2.938,0.642,18,12,2.508,68.18,0.98420166,0.52012664,3510.171,3678.5743,done
377.2,1.416,0.7371,13,5,3.3,50.23,0.99730018,0.5187659,6287.5193,6995.0162,done
336.6,2.976,0.7981,15,3,2.385,53.9,0.99485404,0.36644185,4887.6666,5212.1377,done
341.3,1.871,0.2741,13,6,3.207,61.08,0.70281747,0.99644762,5231.7619,5476.4025,done
356.5,1.36,0.6566,18,8,1.324,46.17,0.99219556,0.73697503,3808.4237,4064.2618,done
360.4,1.679,0.2758,20,18,1.391,58.85,0.62318692,0.96793279,3056.3564,3440.8394,done
333.9,2.69,0.6352,15,14,3.296,61.8,0.97254561,0.57395232,5192.9089,5505.1925,done
346.5,1.656,0.4013,20,6,2.682,30.15,0.57762496,0.998,8241.366,8497.385,done
343.1,2.28,0.5346,17,3,1.359,30.61,0.76637611,0.9891268,5187.0498,5401.7023,done
331.8,1.914,0.2684,18,13,3.209,68.46,0.83997649,0.9958704,4247.4787,4335.442,done
354.4,1.561,0.7288,9,4,3.71,45.75,0.99648518,0.58655979,7776.0453,8223.2588,done
374.2,2.095,0.4186,11,10,2.319,52.89,0.82437253,0.94131289,4686.231,5406.2853,done
366.1,2.682,0.338,11,3,2.23,56.93,0.74694303,0.97041575,4246.1476,4915.3212,done
335.7,1.997,0.4143,15,3,2.623,40.15,0.68667024,0.99427846,6995.365,7249.5204,done
347.7,2.946,0.7882,10,8,1.248,68.67,0.98124529,0.30035778,2172.5781,2369.4139,done
337.6,2.791,0.2288,14,3,3.535,33.66,0.34821786,0.998,9907.0617,10757.1932,done
331.4,2.61,0.5963,11,6,4.227,33.69,0.89049515,0.98956542,11071.3759,11868.8607,done
351.9,1.328,0.4557,13,11,1.87,33.92,0.67428109,0.96813407,5947.8674,6149.9127,done
346.0,1.19,0.3302,19,3,1.085,36.3,0.49085388,0.94835803,4267.1609,4340.7955,done
333.5,1.881,0.4312,11,4,3.948,52.46,0.90627607,0.998,7487.1241,7711.4598,done
336.9,1.876,0.486,17,13,1.478,50.39,0.9530391,0.97269361,3876.4275,3919.4505,done
372.8,1.712,0.2271,15,7,1.809,51.32,0.44113106,0.97643352,4209.185,4805.9902,done
359.3,2.506,0.7318,14,13,2.135,60.27,0.97351968,0.42784679,3768.6121,4295.254,done
354.0,1.986,0.2779,18,7,4.857,59.64,0.68673392,0.998,7392.9221,7991.6181,done
340.9,2.423,0.4612,11,9,1.431,62.21,0.97698363,0.8510401,2865.0423,3002.0569,done
357.8,2.888,0.2108,12,6,3.416,62.46,0.53718435,0.98383433,5228.8475,5938.3788,done
370.7,1.076,0.4219,15,4,3.055,32.62,0.62668361,0.99575753,8314.0938,8759.4583,done
336.8,1.858,0.3015,16,12,2.498,46.47,0.5546915,0.98869935,6091.5048,6275.2194,done
377.7,1.5,0.4381,8,7,3.824,50.33,0.82227817,0.93954986,7121.0538,7843.0167,done
330.6,1.783,0.6483,12,4,3.083,52.56,0.999,0.667426,6138.1554,6226.2903,done
341.5,2.606,0.6202,9,6,2.236,52.96,0.98676787,0.70695757,4751.7913,5060.2652,done
355.3,1.29,0.507,12,4,4.579,45.98,0.94212829,0.998,9190.7914,9572.9138,done
343.1,1.231,0.7408,14,6,4.369,69.65,0.99334827,0.37186111,5061.6745,5244.1164,done
375.3,1.006,0.3106,13,11,1.348,49.15,0.56748971,0.95625149,3633.3968,4121.2914,done
379.0,1.527,0.3949,19,3,1.33,52.88,0.79207783,0.958169,3259.4829,3882.0851,done
341.9,2.654,0.6151,11,3,4.492,52.19,0.99815358,0.73582371,8176.6264,8894.8877,done
352.3,2.163,0.3931,18,10,3.26,30.73,0.56440686,0.9926572,9349.1232,10024.5104,done
347.4,1.997,0.6166,10,7,2.371,39.23,0.96602119,0.92572048,6336.5609,6664.8724,done
361.9,1.684,0.5977,17,3,4.35,61.71,0.99324285,0.65100441,6169.7156,6731.9301,done
373.3,2.661,0.6605,20,6,3.821,46.01,0.99646713,0.736738,7647.9941,8818.7215,done
356.1,1.625,0.2135,10,3,4.988,56.85,0.49367296,0.998,8187.6649,8678.1842,done
366.8,1.164,0.308,19,12,2.305,68.44,0.91477012,0.97142935,3128.382,3599.3816,done
332.7,1.865,0.3292,12,8,2.64,60.68,0.82270462,0.99120003,4599.4541,4677.308,done
379.6,2.3,0.306,9,8,4.01,42.38,0.51466866,0.97569094,8745.836,9898.2519,done
335.5,2.438,0.4873,15,11,4.02,54.15,0.98264007,0.93151787,7221.6602,7696.0043,done
362.5,1.49,0.6831,9,6,1.588,56.7,0.98837473,0.54724267,3385.2751,3775.8093,done
342.4,1.204,0.7802,13,8,3.068,49.11,0.98861235,0.43520982,6462.7293,6531.5468,done
376.3,2.236,0.2724,12,5,2.855,49.63,0.51782056,0.97567466,5915.4936,6794.9608,done
337.4,2.158,0.3027,12,6,4.55,64.67,0.84942399,0.99536017,6230.2405,6563.2152,done
366.2,1.773,0.5135,20,16,4.18,33.83,0.76486521,0.97829718,10441.4678,11235.4307,done
374.5,1.386,0.3702,13,11,1.692,32.1,0.50497064,0.91846112,5608.6176,6139.5656,done
339.6,1.322,0.2849,15,7,4.517,63.87,0.78942775,0.998,6337.9167,6479.5763,done
347.1,2.041,0.5117,14,12,2.696,39.54,0.8273419,0.975635,6995.4396,7407.3332,done
367.7,1.457,0.7397,9,5,1.105,49.31,0.99052808,0.5171177,3187.576,3617.3676,done
372.8,2.82,0.6772,13,2,4.633,49.39,0.99451496,0.64366265,8446.0866,9727.6252,done
361.0,1.64,0.4291,14,7,2.894,41.26,0.72258549,0.99139596,7047.1562,7548.651,done
374.9,1.694,0.6134,17,13,3.705,42.84,0.97923738,0.87588415,7925.0032,8726.2896,done
338.3,1.136,0.6552,18,3,3.408,53.99,0.99173068,0.62991551,6364.2769,6391.1808,done
336.2,2.559,0.724,12,10,1.254,50.68,0.97674173,0.52478676,3508.0438,3580.0586,done
363.2,2.53,0.2939,19,18,3.812,61.91,0.75482588,0.99089504,5607.2122,6372.5499,done
